question,correct_answer,bad_answer_1,bad_answer_2,bad_answer_3,difficulty
"Alapítható-e érvényesen kft. úgy, hogy az egyik tag 1.500.000,- Ft értékben apportálja a fél éve vásárolt, saját tulajdonában álló gépjárművét, a másik tag pedig 1.500.000,- Ft értékű készpénzt bocsát a társaság rendelkezésére?","Igen, lehetséges pénzbeli és nem pénzbeli vagyoni hozzájárulással vegyesen alapítani társaságot.","Nem, apportot csak alapítás után, tőkeemeléskor lehet szolgáltatni","Igen, de csak akkor, ha a készpénzben szolgáltatott vagyoni hozzájárulást a tag közjegyzői letétbe teljesíti az alapítást követő 40 napon belül","Nem, apport szolgáltatására csak nyrt. esetében van mód.",
"Működhet-e egy társaság a létesítő okirat aláírása és ellenjegyzése után, de még a cégbírósági bejegyzés előtt?","Igen, ez az előtársasági forma","Igen, akkor, ha legalább a törzstőke több mint 75 %-át teljesítették",Csak nyrt. működhet ilyen formában.,"Nem, meg kell várni a bejegyző végzést",
"Egyszemélyes kft-met kényszertörlik, az ügyvezető is én voltam. Sajnos egy közüzemi díjtartozást nem tudott a társaság kifizetni, a hitelező bejelentkezett a cégbíróságnál, de nincs fedezet a követelésére, a társaságnak semmi vagyona nincs, annyi sem, hogy a felszámolási eljárás költségeit fedezze. A céget törölni fogja a cégbíróság, mire számítsak a cég törlése mellett?",A cégbíróság eltiltó végzést fog hozni velem szemben.,"Arra, hogy a bíróság esetleg csődeljárást rendel el a törlést követően",A hitelező részére alapítanom kell egy kft-t saját költségemen.,"Mint ügyvezető nem felelek, de mint tulajdonos, köteles vagyok zálogjogot alapítani a saját üzletrészemre és azt elárverezni.",
Ki a cégvezető?,"A vezető tisztségviselők munkájának segítése érdekében, a legfőbb szerv által kinevezett olyan munkavállaló, aki a vezető tisztségviselő rendelkezései alapján irányítja a társaság folyamatos működését.",A felügyelőbizottság elnöke,"A bt. kültagjának másik elnevezése, ha az alapszabály erre vonatkozóan legalább 4 évre őt ezen másik elnevezéssel illeti.",Az ügyvezető másik elnevezése,
Mi a felmentvény?,"A társaság legfőbb szerve a beszámoló elfogadásával egyidejűleg az előző üzleti évben kifejtett ügyvezetési tevékenység megfelelőségét megállapító nyilatkozatot ad, mellyel a legfőbb szerv elismeri, hogy a vezető tisztségviselő megfelelően járt el.",A vezető tisztségviselőhöz címzett felmondást nevezik így,Az ügydöntő felügyelőbizottság által hozott határozat neve,"A társaság vezető állású munkavállalójának joga arra, hogy bármely munkavállaló jogviszonyát megszüntesse.",
Az alábbiak közül melyik esetben kell biztosan felügyelőbizottságot létrehozni?,"Egy ezer fős nagyvállaltnál, ahol működik üzemi tanács és az üzemi tanács kifejezetten jelezte, hogy szeretne munkavállalói részvételt a felügyelőbizottságban",Az átalakulásról szóló második körben hozott döntés meghozatalához kell létrehozni felügyelőbizottságot,"Ha az állandó könyvvizsgáló arra utasítja a társaság ügyvezetését, hogy jelöljön ki erre három személyt",Minden 3 millió forintot elérő törzstőkéjű kft-ben,
Mi az ügydöntő felügyelőbizottság?,A létesítő okirat egyes döntések meghozatalát vagy azok jóváhagyását a felügyelőbizottság hatáskörébe utalja.,A munkavállalókból álló felügyelőbizottságot jelenti.,"A felügyelőbizottság elnöke önállóan, a testület nevében határoz",Ülés tartása nélkül hozhat határozatot a felügyelőbizottság.,
"A Nagy Kft. Nagy Géza kizárólagos tulajdonában áll. Nagy Gézáné, a feleség állandó könyvvizsgálóként szeretné ellátni a társaság részére az állandó könyvvizsgálói feladatokat. Van-e összeférhetetlenség a feladat ellátása körében?","Igen, mert Nagy Gézáné a tag hozzátartozója, így összeférhetetlen.","Egyszemélyes társaságnak nem lehet állandó könyvvizsgálója, így nem lehet Nagy Gézánénak elvállalni ezt a megbízatást, függetlenül attól, hogy összeférhetetlen-e.","Nincs, ha Nagy Gézáné írásban vállalja és kijelenti, hogy a független könyvvizsgálatra képes és alkalmas hozzátartozóként is.","Nincs, mert Nagy Gézáné nem tulajdonos a társaságban",
"Volt egy kft-m, megszüntettem szabályszerűen végelszámolással, ennek a végén 100 ezer forint maradt a társaság bankszámláján minden fizetendő kötelezettség és a bejelentett hitelezői igények kielégítése után. Kit illet ez a pénz?"," Engem, mint alapítót, mert hitelezők kielégítése után fennmaradt vagyon a jogi személy tagjait (alapítói jogok gyakorlóit)
illeti vagyoni hozzájárulásuk arányában","A Magyar Államot, mert minden megszűnő jogi személy fennmaradó vagyona az államot illeti.","A felszámolóbiztost illeti meg, mivel megdolgozott a végelszámolás szabályszerű lezárásával.","Az örökösömet fogja megilletni, amikor én elhalálozom, addig pedig a társaság törlésére nem kerülhet sor",
A 75 %-os tulajdonomat képező társaságomnak csak főtevékenységet rögzítettünk a társasági szerződésében. Szeretném az ingatlan bérbeadása egyéb tevékenységi kört is rögzíteni most. A tagtársam viszont ezt nem szeretné. Át tudom vezetni a módosítást?,"Igen, mivel ez egyszerű többséget igénylő határozat.","Nem, ehhez egyhangú döntés kell.","Nem, mert egyéb tevékenységi köre nem lehet egy társaságnak, csak főtevékenysége","Igen, ha a döntéssel egyidejűleg elhatározom a társaság végelszámolását is.",
"A megbízással rendelkező állandó könyvvizsgáló kutakodni akar az egyszemélyes kft-m iratai között, van erre joga?","Igen, hiszen iratbetekintési joga van.","Igen, amennyiben alátámasztja, hogy szabálytalanság gyanúja merült fel.","Nincs, rt. esetében lenne csak joga rá.","Nincs, én bíztam meg, én mondom meg, hogy mit vizsgálhat.",
"Alapítok egy kkt-t négy barátommal, de időközben megromlik a viszony köztem és a tagok közül két taggal. Van-e lehetőségem arra, hogy átalakulással bt-ként folytassam a két jóbarátommal? A két rossz viszonyt létrehozó barát sem akar már együttműködni velünk, szívesen szabadulnának a társaságból.","Igen, a társasági forma megváltoztatható és arra is van mód, hogy az átalakulás után a társaság jogutódjában egyes tagok, akik nem kívánnak részt venni, távozzanak","Nincs, a formakényszer miatt a létrehozott kkt. nem alakulhat át","Nincs, mert bár átalakulásra lenne mód, de kkt. nem alakulhat át bt-vé","Csak akkor, ha valamennyi tag, azaz mind az öten vállaljuk, hogy a jogutódban is részt veszünk az átalakulás után.",
A bt. kültagjának milyen felelőssége van?,"A vagyoni betétje szolgáltatásáért felel, a társasági kötelezettségekért - ha a Ptk. eltérően nem rendelkezik - nem tartozik helytállási kötelezettséggel","Felel azért, hogy a társaság jogutód nélküli megszűnése esetén a társaság érdekeinek elsődlegessége szerint záruljon le a végelszámolási eljárás",A kültagnak csak vezető tisztségviselői felelőssége van.,A társaságnak a társasági vagyon által nem fedezett kötelezettségeiért a többi beltaggal egyetemlegesen köteles helytállni,
Mi a kft. esetében a mellékszolgáltatás?,"Olyan személyes közreműködés, melyet a tag erre irányuló külön jogviszony hiányában vállal a társaság tevékenységében, ezért ellenszolgáltatást igényelhet a társasági szerződés szerint.",A tag ingyen vállalt engedély nélküli másodállása a vezető tisztségviselői tisztsége mellett.,A társaság által vállalt zálogjog tagi bizosítéka,A pótbefizetés,
Melyik állítás igaz a pótbefizetésre?,"A társasági veszteségek rendezésére használható fel, a tag törzsbetétét nem növeli.",A saját tőke eredménytartalékkal csökkentett összegével egyezik meg,Osztalékfizetéssel egyidejűleg esedékes a megfizetése,A felügyelőbizottság indítványára az ügyvezető rendeli el annak alkalmazását.,
Ki jogosult osztalékra?,Aki az osztalékfizetésről szóló döntés meghozatalának időpontjában a tagsági jogok gyakorlására jogosult,Aki a társaság vezető tisztségviselője,Aki a közbenső mérleget könyvvizsgálja.,Akit a vezető tisztségviselő a határozatok könyvébe történő rögzítéssel osztalékra jogosultként nyilvántartásba vesz.,
Melyik esetben kötelező összehívni a kft. taggyűlését a Ptk. értelmében?,A társaság saját tőkéje veszteség folytán a törzstőke felére csökkent.,A kft. részvénykönyvébe történő bejegyzéshez.,"A társaság arról határoz, hogy kétórás munkaviszonyt létesít egy nagykorú személlyel.",A vezető tisztségviselő le akar mondani.,
Melyik NEM előfeltétele a törzstőkén felüli vagyonból történő tőkeemelésnek?,A társaságnak nem volt az elmúlt három hónapban tőkeleszállításról szóló döntése,"A társaság az előző üzleti évre vonatkozó beszámolójának/tárgyévi közbenső mérlege szerint rendelkezik olyan törzstőkén felüli vagyonnal, amely törzstőke-emelésre fordítható.","A felemelt törzstőke nem haladja meg a társaság – lekötött tartalékkal, értékelési tartalékkal csökkentett – saját tőkéjét.",A fedezetet a társaság 6 hónapnál nem régebbi fordulónappal készült beszámolója/közbenső mérlege igazolja.,
"Van egy kft-m, 100 millió forintos törzstőkével. Van egy magyarországi székhelyű bank, akinek tartozom 5 millió forinttal, melyet záloghitel biztosít a társaság 20 millió forintot érő ingatlanán. A társaságom törzstőkéjét szeretném leszállítani tőkekivonás miatt 80 millió forintra. Köteles vagyok-e a hitelező banknak biztosítékot nyújtani a tőkeleszállításra tekintettel?","Nem, mert a hitelező már rendelkezik a törzstőke-leszállításhoz kapcsolódó kockázattal arányos biztosítékkal.","Igen, a hitelezők minden tőkeleszállításnál jogosultak biztosítékra.","Igen, mert a bankok minden esetben jogosultak biztosítékra","Nem, mert itt a tőkeleszállítás azért kötelező, mert a kft. esetében a tőke nem lehet nagyobb hárommillió forintnál.",
"Egyszemélyes kft-m van, aminek van egy használt, 10 éves műanyag kerti tárolója, amit szeretnék megvásárolni ellenérték fejében. Van-e rá lehetőségem társasági jogi szempontból?","Megvehetem, de a szerződést közokiratba vagy teljes bizonyító erejű magánokiratba kell foglalni.","Csak akkor vehetem meg, ha az ellenérték eléri a százezer forintot",Megvehetem minden feltétel nélkül.,Egyszemélyes kft. tagja nem veheti meg a saját kft-je tulajdonát képező vagyontárgyat.,
"Megszüntetem az 50 %-50 %-os részesedésű kft-nket, marad benne 100 ezer forint, amiből 20-20 ezer forint a másik taggal teljesített pótbefizetés maradéka, továbbá egy hitelezői igény érkezik a NAV-tól, egy 30 ezer forintos elmulasztott járulék megfizetése. Mi a kielégítés jogszabálynak megfelelő sorrendje?","Kifizetjük a hitelezőt, majd a pótbefizetést visszatéríthető a tagoknak, végül a fennmaradó 30 ezer forintot a törzsbetétek arányában felosztjuk egymás között 50 %-50 %-ban","Kifizetjük a hitelezőt, a fennmaradó 70 ezer forintot a törzsbetétek arányában felosztjuk egymás között 50 %-50 %-ban.","Nem fizetünk ki senkit, megszüntetjük gyorsan a céget és a fennmaradó vagyonért a NAV perelheti a végelszámolót.","Kifizetjük a tagokat 50 %-50 %-ban a 100 ezer forintból és reménykedünk, hogy a NAV nem veszi észre, hogy megszüntettük a gt-t. A pótbefizetés úgyis a jegyzett tőkét növelte, így annak külön nem kell a visszatérítéséről rendelkezni.",
Mi a cégjegyzés?,A társaság írásbeli képviselete.,A vezető tisztségviselő megválasztásának elsőbbségét biztosító részvény jegyzésének neve.,A cégnyilvántartás,A cégbíróság cégeljárása.,
"Fertőző járvány tombol, kft-beli cégtársam nem akar velem személyesen találkozni. Elfogadhatjuk-e az éves beszámolót személyes részvétel helyett videókonferenciával?","Ha a létesítő okirat engedi, akkor igen, a legfőbb szerv ülést elektronikus hírközlő eszközön keresztül is tarthat.",Nincs erre jogszerűen mód.,"Akkor lenne rá mód, ha nyrt-ről beszélünk, más társasági formáknál nem","Ha van ügydöntő felügyelőbizottság a társaságban, akkor lehetséges, egyébként nem",
Mi a hányadrészvény?,A részvény névértékét az alaptőke mindenkori összegének hányadában határozzák meg és nem tüntetik fel a részvényen az alaptőke összegét.,Ha egy részvénynek több tulajdonosa van,Az elsőbbségi jogokat megtestesítő részvény.,"Vételi, eladási vagy mindkettő jogot biztosító részvény.",
"Egészítse ki a helyes válasszal a mondatot! A ………………………- az rt-nél foglalkoztatott munkavállalók számára ingyenesen, vagy pedig a részvény névértékénél alacsonyabb, kedvezményes áron bocsátható ki és csak alaptőkeemeléssel egyidejűleg lehet kibocsátani.",dolgozói részvény,részvényutalvány,visszaváltható részvény,kamatozó részvény,
Mi a részvényutalvány?,"Alapítás vagy tőkeemelés bejegyzése előtt a vagyoni hozzájárulást teljesítő személy kérésére a társaság olyan okiratot állít ki, amely tartalmazza a jogosult nevét, a teljesített vagyoni hozzájárulás összegét, és az ellenkező bizonyításáig igazolja az okiratban meghatározott személynek a rt-gal szemben fennálló jogait és kötelességeit, nem értékpapír","Nyomdai előállítás esetén több, azonos sorozatba tartozó részvényt egy részvényokiratba foglalva állítanak elő, mely utóbb szétbontható kisebb címletű részvényekre.","A részvénykönyv vezetője a részvénykönyvben szereplő, a tulajdonosi megfeleltetés időpontjában hatályos valamennyi adatot törli, és ezzel egyidejűleg a tulajdonosi megfeleltetés eredményének megfelelő adatokat a részvénykönyvbe bejegyzi.","Alapítás vagy tőkeemelés bejegyzése után a vagyoni hozzájárulás teljes befizetéséig a részvényes által átvenni vállalt vagy már teljesített vagyoni hozzájárulás összegéről állítják ki. Ez alapján a részvényes részvényesi jogait az általa már teljesített vagyoni hozzájárulás mértékével arányosan gyakorolja, elsőbbségi jog csak teljes vagyoni hozzájárulás után illeti. A részvény előállításakor felszólításra be kell nyújtania ezt, a dematerializált verzióját pedig érvénytelenné nyilvánítják",
Mi az egységes irányítási rendszer?,"A felügyelőbizottság és az igazgatóság az nyrt. estében együtt működik, melynek neve: igazgatótanács. Az igazgatótanács minimálisan 5 főből áll, többségében független tagokkal","A kibocsátó részvénytársaságban gyakorolható tagsági jogokat megtestesítő, névre szóló, névértékkel rendelkező, forgalomképes értékpapír","Az rt. közgyűlése arról dönt, hogy a jegyzett tőkét megemeli.","Az nyrt. igazgatósága az éves rendes közgyűlés elé terjeszti a rt. társaságirányítási gyakorlatát bemutató, az adott tőzsde szereplői számára előírt módon elkészített jelentést, melyet a közgyűlés fogad el.",
Az alábbiak közül melyik társasági formánál kötelező auditbizottságot létrehozni?,nyrt,"Csak egyéni vállalkozónak kell auditbizottságot létrehozni, ő pedig ugye nem társaság.",zrt.,kft.,
"A 10 millió forintos alaptőkéjű zrt-mből szeretnék kivonni tőkét, mert pénzre van szükségem. Kitalálom, hogy a tőkekivonással együtt a pénzbeli hozzájárulás helyett a most vásárolt autómat apportálnám. Egy gond van, nekem 6 millió forintra lenne szükségem, viszont a gépjármű egy 21 millió forintot érő Tesla. Van-e lehetőségem a fentiek szerinti művelettel a tőkekivonást és a tőkeemelést végrehajtani jogszerűen?","Lehetséges, mert ha egyidejűleg határozok a minimális alaptőke-összegig történő felemelésről is a példa szerinti összegű apporttal, az jogszerű.","Nincs, az alaptőkéből 6 millió forint kivonásával az alaptőke a minimum alá esne, akkor sem lehet ilyet, ha egyidejűleg az apportálással felemelem azt a minimum felé","Csak akkor lehet, ha ehhez dolgozói részvények kibocsátásáról is határozok","Nincs, hiszen tőkekivonásra nincs mód a zrt. esetében, nem létezik ilyen okból történő tőkeleszállítás",
Lehet-e saját részvénye az egyszemélyes rt-nek?,"Nem, semmilyen formában nem lehet saját részvénye az egyszemélyes rt-nek.","A részvénytársaságban nincs saját részvény, csak a kft-ben létezik a saját részvény fogalom, ezért nem lehet.",Csak az nyrt-nek.,Igen,
"Mikor jár „jól” a likvidációs hányadhoz fűződő elsőbbségi részvény tulajdonosa, azaz elsőbbségi joga milyen előnyt hordoz a számára?","A társaság alapításakor, mert elsőbbséggel jegyezhet ezzel a részvénnyel kötvényeket","A társaság megszűnéskor, mert a társasági tartozások után fennmaradó vagyonból elsőbbséggel kap részesedést.","Osztalékfizetéskor, mert osztalékelsőbbséget biztosít a részvénye","A vezető tisztségviselő megválasztásánál, mert ez a részvény ezt az elsőbbségi jogot biztosítja, ha a részvényes az alaptőke legalább 51 %-ával megegyező összegű ilyen likvidációs hányadhoz fűződő elsőbbségi részvénnyel bír",
"Átalakult a cégem, a végleges vagyonmérlegben az átalakulási vagyonmérleg-tervezet szerint megállapított saját tőkéhez képest több mint húszezer forint pozitív különbözet merült fel. Mi lesz ennek a sorsa?",A jegyzett tőkén felüli vagyonként kell figyelembe venni.,Le kell a jehyzet tőkét szállítani vele.,Jogutód nélkül meg kell szüntetni emiatt a társaságot.,"Az egész átalakulás emiatt érvénytelen, így mindent vissza kell csinálni és értesíteni a cégbíróságot.",
Melyik NEM tőkeleszállításra okot adó körülmény?,Új részvények kibocsátása,Saját tőke más elemének növelése,Veszteségrendezés,Tőkekivonással,
"Kötelező alaptőke leszállítás történik, a Cégközlönybeli erről szóló hirdetményi közzététel alapján megilleti-e a jog a hitelezőket biztosíték iránti igény bejelentésére?",Nem.,"Igen, minden esetben.",Csak nyrt.-nél.,"Igen, ha az alaptőke kevesebb mint ötmillió forint.",
Milyen kötelezettsége van a részvényesnek a részvénytársasággal szemben?,A részvény névértékének vagy kibocsátási értékének szolgáltatása.,A részvények átruházása.,Egyetemleges és korlátlan helytállási kötelezettség a társaság által vállalt kötelezettségekért.,Személyes munkavégzés.,
"Melyik jogintézmény definíciója az alábbi: olyan vállalkozás, amelynek összes foglalkoztatotti létszáma 10 főnél kevesebb, és éves nettó árbevétele vagy mérlegfőösszege legfeljebb 2 millió eurónak megfelelő forintösszeg?",mikrovállalkozás,nagyvállalat,kisvállalkozás,középvállalkozás,
"Milyen (nem büntetőjogi) szankcióra számíthat egy kft. vezető tisztségviselője, ha súlyos mulasztásokat követ el az ügyvezetői feladatai ellátása során, ami végül oda vezet, hogy a társaságot jogerősen kényszertörlési eljárásba fordítják?",A legrosszabb esetben a vezető tisztségviselőt akár eltilthatják.,"Semmilyenre, felel majd a tag","Csak az nyrt. auditbizottsági tagja ellen lehet pénzbírságot kiszabni, más gt-nél nincs szankció","Ha a céget törlik, elveszíti a munkahelyét, ezen kívül más szankció nem állhat be vele szemben",
Egészítse ki a helyes válasszal a mondatot! A felszámolási eljárás egy az adós ……………………………. a jogi személy jogutód nélküli megszűnésére vezető eljárás,fizetésképtelensége esetén,csődegyezségi kérelmére induló,cég törlését követő,vagyonfelügyelő választásával kezdődő,
Szüneteltethető-e az egyéni vállalkozó tevékenysége?,"Igen, de legfeljebb három évig.",Nem.,"Igen, ha helyettest bíz meg ezen időtartam alatt, aki helyette ellátja a munkát.","Nem, ebben az esetben vissza kell adni a vállalkozói igazolványt és megszüntetni a teljes tevékenységet",
Legfeljebb hány tagja lehet az egyéni cégnek?,Egy,"Egy sem, az egyéni cégnek nincs tagja",Korlátlan számú,Kettő,
"Melyik jogintézmény sajátosságait ismeri fel az alábbiakból? E jogánál fogva a jogosult a más személy tulajdonában álló dolgot birtokában tarthatja, használhatja, hasznosíthatja és hasznait szedheti. E jog a dolog tulajdonosának változására tekintet nélkül fennmarad. Ezen jogot csak határozott időre, természetes személynek legfeljebb a haláláig, jogi személynek maximum 50 évre lehet alapítani.",haszonélvezeti jog,telki szolgalom,túlépítés,birtokvédelem,
"Kezdő méhész vagyok, az első méhrajom rögtön a szomszéd garázsának az eresze alá költözik az éj leple alatt. Van-e jogom arra, hogy őket hazahozzam reggel?","Igen, a szomszédjogok közül a szomszédos telek igénybevétele éppen erre szolgál, az állatokat így befoghatom.","Igen, ha egyidejűleg hozzájárulok ahhoz, hogy a szomszéd telki szolgalmat alapítson az én telkemen.","Csak akkor illeti meg a szomszédos telek igénybevételének joga, ha arról előzetesen szerződést kötöttem a szomszéddal és biztosítékot is adtam.","Nincs, lettem volna óvatosabb.",
Egészítse ki a helyes válasszal! A szerződés a felek akaratának kölcsönös és ……………………. kifejezésével jön létre.,egybehangzó,eltérő,ellentmondó,tiltakozó,
Az alábbiak közül melyik jogosultságot társítjuk a tulajdonjog részjogosítványainak körébe?,rendelkezés joga,végelszámolás,szállítási szerződés,zálogjog,
"Mindenképpen talpig lila biciklit akarok venni, ajánlatot tesz egy eladó, de fehér rajta a pedál. Kérdés nélkül postázza nekem így és elvárná, hogy kifizessem. Mire hivatkozhatok?",A szerződés köztünk létre sem jött.,"Semmire, a szerződés küztünk létrejött.",Végelszámoltathatom a céget.,Kényszertöröltethetem a céget.,
"Jelölje meg, hogy az alábbi jogintézmények a szerződés érvénytelenségének melyik kategóriájába tartoznak: felek téves feltevése, feltűnő értékaránytalanság ",megtámadhatóság,mind a kettőbe tartoznak ezek a jogintézmények,"nem létezik olyan, hogy szerződés érvénytelensége",semmiség,
"Jelzálog-szerződést kötök a bankkal. Általános szerz. felételt alkalmaz, elfogadom. Szerződés egyoldalú módosításra jogosult, ha kitör a járvány. Covid van, módosíthat-e?","Igen, hisz szerződésben kötöttük.",Csak akkor ha bíróság elrendeli,Nincs lehetőség,Csak ha a jelzálog-fedezetet megszünteti,
"Könyvelő vagyok, megkérem egyik barátomat, hogy helyettesítsen egy bevallás benyújtásánál. Határidőn túl nyújtja be. Ki a hibás?",Én felelek.,Az ügyfél a barátomat perelheti.,Az ügyfél felel,Senki nem felel,
"Elvittem a cipészhez a cipőmet, szerdára ígérte a javítást. Pénteken még mindig nincs kész, szerződést szegett. Mit követelhetek a Ptk. alapján?",A szerződésszerű teljesítést,Semmit,Késedelemre tekintettel vegye meg a cipőmet,Jogutód nélkül szüntesse meg a vállalkozást.,
L Kft és N Zrt egymással adásvételi szerződést kötnek. N Zrt késedelembe esik a vételár megfizetésével. Mekkora összegú késedelmi kamatot kell fizetnie?,A késedelemmel érintett naptári félév első napján érvényes jegybanki alapkamat 8 százalékponttal növelt értékének megfelelően.,A késedelemmel érintett naptári félév első napján érvényes jegybanki alapkamattal megegyező mértékűt,A késedelemmel érintett naptári félév első napján érvényes jegybanki alapkamat egyharmadát,Vállalkozások között késedelmi kamat kikötése lehetetlen és tilos,
Melyik nem kellékszavatossági igény?,perindítás,kijavítás,kicserélés,árleszállítás,
"Melyik jogintézmény definíciója az alábbi: a kötelezett írásban pénz fizetésére kötelezi magát arra az esetre, ha olyan okokból, amiért felelős, megszegi a szerződést.",kötbér,foglaló,jótállás,jogvesztés,
"Kit illet meg az alábbi jog? E jog alapján a követelésének biztosítására szolgáló vagyontárgyból más követeléseket megelőző sorrendben kielégítést kereshet, ha a biztosított követelés kötelezetje nem teljesít.",zálogjogosult,zálogkötelezett,megrendelő,eladó,
"Melyik szerződésfajta? Az egyik fél tevékenységgel elérhető eredmény (azaz mű) megvalósítására, a másik fél pedig annak átvételére és a díj megfizetésére köteles.",vállalkozási szerződés,megbízási szerződés,adásvétel,haszonélvezeti jogot alapító szerződés,
"A jogi személy ............., azaz olyan jogok és kötelezettségek illetik, terhelik, melyek jellegüknél fogva nem csupán az emberhez fűződhetnek.",jogképes,cselekvőképtelen,objektív felelősséggel bír,testület,
"Nem pénzbeni vagyoni hozzájárulás, mely lehet dolog tulajdonjoga vagy vagyoni értékű jog",apport,auditbizottság,likvidációs hányadhoz fűződő elsőbbségi részvény,átalakulási terv,
"Alapítok egy társaságot, előtársaságként működik, de sajnos nem jegyzik be. Az előtársasági létének megszűnése után végezhet még jogszerűen üzletszerű gazdasági tevéket?","Nem, mivel a jogerős elutasítás miatt azonnal be kell fejeznie a működést.","Igen, mivel még 45 napig működhet a cég jogerős elutasító végzés kézhezvétele után.","Nem, mivel előtársaságként nem is lehetett volna üzletszerű tevéket végezni","Ha biztosítékot adok, akkor igen.",
Az egyéni vállalkozó a tevékből eredő kötelezettségeiért.................felel.,teljes vagyonával,1 millió forintig,egy évig,vagyonával nem,
Melyik lehet szerződés érvénytelenségének megtámadási oka az alábbiak közül?,"az érdekellentét képviselő, képviselt között",a színlelt szerződés,az alaki hiba,fiduciárius hitelbiztosíték kikötése,
"Kölcsönt veszek fel a banktól évi 3%-os kamatra. Késedelembe esek, mekkora mértékű lesz a késedelmi kamat mértéke?","Az ügyleti kamat és felette a jegybanki alapkamat egyharmadával megegyező kés. kamat, de legalább a késedelemmel érintett naptári félév első napján érvényes jegybanki alapkamat fizetendő.","Az ügylet késedelmi kamattól mentes, mert a szerződésben nem rögzítették.",A jegybani alapkamat egyharmadával megegyező mértékű.,A jegybanki alapkamattal egyező mértékű.,
